 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
dumpe	971
dvd	2108
dyb	1137
dybde	1137
dybfryser	225;1022504;1113706
dybt	21
dydsmønster	407
dygtig	253;596
dygtig (kunstner eller sportsudøver)	1787
dynamik	2163
dynamisk	2163
dyne	487;1267
dyppe	1088
dyr	621;1003
dyrke	690;3050
dåb	1035;1237
dårlig	735;735
dårlig (ikke god)	971
dårlig klædt	1315
dårlig vane	1153
dåse	2330
dække	1004
dæmpe	1006
dø	597;618
døbe	1035;1237
død	597;618
døgn	217
dømme	640
dør	457
døv	96;405;405
e	883;2369
e-mail	312;1016
e-post	1016
edderkop	1076
eddike	254
efter	359;641
efterabe	359;1220
eftergivende	451
efterhånden	2948
efterligne	1220
efterligning (af person)	1220
efterlyse	69
eftermiddag	926
efternøler	1064102;1091702
efterspørgsel	1036603;1064103
efterår	155;881
egen	432
egentlig	21;238
egn	932
egnet	1342
egoistisk	432
eje	432;824
ejendom	432;458;1602
ejendoms-	432
ejer	432
eksamen	2949
eksempel	795
eksemplar	795
eksistere	69;824
ekskludere	985
ekskrementer	762
ekspansion	3070
ekspedient	426
eksperiment	1155
eksperimentere	1155
ekspert	1739;1755;2457
eksplodere	1239
eksplosion	1239
eksport	866
ekspres	830
ekstra	797;3055
el	183
elastik	1124
elastisk	1124
elefant	1967
elektricitet	183
elektriker	183
elektrisk	183
element	776
elementær	135
elendig	735
elendig til	3002
elev	553
eller	198;1525
elleve	1401
elske	105;105;2031
emne	531
empati	186
empatisk	186
en	669
en (art.)	76
en (person)	654
en dag senere	141
en fjerdedel	2113
en gang imellem	861
en kvart	2113
en lille	307
en lille smule	767
en måned	1347
en skuffelse	1793
en slags	266
en smule overvægtig	278
en stor portion	1341
en time	1478
en tredjedel	2115
ende	355
ende med	355;975
endelig	355
enden	355
